"id","trust","check","condition","region","insecure","need","depend","purchases_market","age","wives_cowives","num_children","literate","education","sell_milk_meat","sell_handcrafts","wage_labor","farming","sell_crops","own_business","teaching","hh_size","hh_labor","urban_travel","engai_christian_same","god_mind","god_body","god_omnipotent","god_omniscient","god_omnibenevolent","god_punish","god_reward","rituals_frequency","prayer_frequency","disagree_god_frequency","maasai_all_cattle","polygyny","moran_eating","cattle_raid","educate_children","educate_women","cattle_over_cash","belief_god_important","children_share_religious","others_share_religious","farming_good","female_circumcision","maasai_worry_future","god_comfort_safety","donkeys","chickens","cattle","goats","sheep","roof","solar","wealth","TLU","MI"
1,1,0,1,0,0.8,5.25,0.333333333333333,4,52,3,18,1,1,0,0,0,1,1,0,0,21,4,2,1,1,0,1,1,-1,1,1,4,4,4,-1,1,-1,-1,1,1,2,1,2,2,2,-1,1,1,2,4,4,10,3,0,0,3,5.14,0.694236703141574
2,0,1,1,0,0.25,2.5,0.25,4,52,2,6,1,2,0,0,0,1,1,1,0,10,4,1,1,1,0,1,1,1,1,1,4,5,4,-1,-1,-1,-1,1,2,1,2,2,2,1,-1,1,1,3,0,10,50,12,0,1,3,14.7,0.694236703141574
3,1,0,1,0,1.6,1.5,0.333333333333333,3,36,0,0,0,1,0,0,0,1,1,0,0,3,2,2,1,1,1,1,1,1,-1,1,4,4,1,1,1,-1,-1,1,2,2,1,2,-1,2,1,-1,2,1,0,4,5,6,0,0,0,4.4,-0.104756944975327
4,0.5,1,1,0,1.75,2,0.5,3,40,1,4,1,1,0,0,0,1,0,0,0,8,4,2,0,0,0,1,1,1,-1,1,2,4,1,1,1,-1,-1,2,1,-1,1,2,1,1,2,1,1,0,2,4,6,2,0,0,1,3.62,-0.903750593092228
5,0.5,1,1,0,1.75,4,0.333333333333333,4,40,1,6,0,1,0,1,0,1,0,0,0,8,2,1,1,-1,-1,1,1,-1,1,1,5,4,4,-1,-1,-1,-1,1,2,1,1,1,2,1,-1,-1,1,2,10,5,10,7,0,0,1,6.3,0.694236703141574
6,1,1,1,0,1.75,2,0.333333333333333,4,21,1,3,1,2,0,0,0,1,1,0,0,4,2,1,-1,-1,-1,1,1,1,1,1,5,5,5,-1,1,-1,-1,1,1,0,1,1,1,1,-1,1,1,3,15,10,20,30,0,0,1,13.65,0.694236703141574
7,0,1,0,0,1.75,2.33333333333333,0.25,4,75,1,9,0,1,0,1,0,1,1,0,0,7,3,1,-1,1,1,1,1,1,1,1,4,5,5,1,1,-1,-1,1,2,-1,2,1,1,1,0,0,2,1,0,2,10,2,0,0,1,3.1,1.49323035125847
8,1,1,1,0,0.8,2,0.333333333333333,3,48,1,8,0,2,0,0,0,1,1,0,0,10,5,2,1,0,0,1,1,-1,1,1,1,5,1,-1,1,-1,-1,1,1,-1,2,2,2,2,-1,1,1,5,5,30,70,10,1,1,3,31.55,-0.104756944975327
9,0,1,1,0,1.6,2,0.333333333333333,3,53,4,17,0,1,0,0,0,1,1,0,0,22,11,1,0,1,1,1,1,1,1,1,1,4,1,-1,0,-1,-1,2,2,-1,1,-1,-1,1,1,1,1,7,10,40,40,20,0,0,4,37.6,-0.104756944975327
10,1,0,1,0,1,3.75,0.25,4,49,2,5,1,2,0,1,0,1,1,0,0,15,4,1,-1,0,1,1,1,1,-1,1,4,5,3,-1,1,-1,-1,1,2,-1,2,2,1,1,-1,1,1,4,4,10,15,6,1,1,4,11.14,1.49323035125847
11,0.5,0,1,0,1.6,2,0.333333333333333,4,67,1,2,0,1,0,0,0,1,1,0,0,4,2,1,1,0,0,1,1,1,1,1,4,5,2,-1,-1,-1,-1,2,2,-1,2,2,2,2,-1,1,2,2,0,28,46,6,0,0,1,25.8,0.694236703141574
